ticker,date,compound,Interpretation
FBHS,2020-07-30,0.17,Positive
FBHS,2020-07-31,0.5859,Positive
FBHS,2020-08-04,0.6124,Positive
FBHS,2020-08-10,0.2263,Positive
FBHS,2020-08-27,-0.2263,Negative
FBHS,2020-08-28,0.34,Positive
FBHS,2020-08-31,0.34,Positive
FBHS,2020-09-01,0.0,Neutral
FBHS,2020-09-10,0.2023,Positive
FBHS,2020-09-14,0.34,Positive
FBHS,2020-09-21,0.3800666666666666,Positive
FBHS,2020-09-22,0.5931500000000001,Positive
FBHS,2020-09-30,0.6249,Positive
FBHS,2020-10-01,0.34,Positive
FBHS,2020-10-06,0.17,Positive
FBHS,2020-10-07,0.0,Neutral
FBHS,2020-10-08,0.0,Neutral
FBHS,2020-10-09,0.296,Positive
FBHS,2020-10-13,0.0,Neutral
FBHS,2020-10-16,0.6564,Positive
FBHS,2020-10-20,0.26913333333333334,Positive
FBHS,2020-10-21,0.17,Positive
FBHS,2020-10-22,0.0,Neutral
FBHS,2020-10-26,0.0,Neutral
FBHS,2020-10-27,0.3062,Positive
FBHS,2020-10-28,0.3779,Positive
FBHS,2020-10-29,0.0,Neutral
FBHS,2020-10-30,0.5921,Positive
FBHS,2020-11-02,0.3182,Positive
FBHS,2020-11-06,0.7003,Positive
FBHS,2020-11-09,0.34,Positive
FBHS,2020-11-13,0.0,Neutral
FBHS,2020-11-17,0.6654,Positive
FBHS,2020-11-18,0.0,Neutral
FBHS,2020-11-19,-0.5187,Negative
FBHS,2020-11-20,0.4404,Positive
FBHS,2020-11-25,0.0,Neutral
FBHS,2020-12-07,0.2263,Positive
FBHS,2020-12-08,0.0,Neutral
FBHS,2020-12-09,0.0,Neutral
FBHS,2020-12-11,0.0,Neutral
FBHS,2020-12-14,0.34,Positive
FBHS,2020-12-15,0.1591,Positive
FBHS,2020-12-21,0.1951,Positive
FBHS,2020-12-28,0.4404,Positive
FBHS,2020-12-30,0.1779,Positive
FBHS,2021-01-08,0.4588,Positive
FBHS,2021-01-11,0.31245,Positive
FBHS,2021-01-13,0.0,Neutral
FBHS,2021-01-14,0.2023,Positive
FBHS,2021-01-19,0.2263,Positive
FBHS,2021-01-20,0.7269,Positive
FMC,2020-03-11,0.4019,Positive
FMC,2020-03-18,-0.3182,Negative
FMC,2020-03-19,0.0,Neutral
FMC,2020-03-24,0.0,Neutral
FMC,2020-03-26,0.0,Neutral
FMC,2020-04-02,-0.2732,Negative
FMC,2020-04-09,0.0,Neutral
FMC,2020-04-14,0.5859,Positive
FMC,2020-04-19,0.6808,Positive
FMC,2020-04-22,0.5106,Positive
FMC,2020-04-23,0.5106,Positive
FMC,2020-04-28,0.0,Neutral
FMC,2020-04-29,0.0,Neutral
FMC,2020-04-30,0.0,Neutral
FMC,2020-05-04,0.47155,Positive
FMC,2020-05-05,0.8689,Positive
FMC,2020-05-06,0.19276666666666664,Positive
FMC,2020-05-07,0.0,Neutral
FMC,2020-05-09,0.3818,Positive
FMC,2020-05-10,-0.2732,Negative
FMC,2020-05-19,-0.1027,Negative
FMC,2020-05-21,0.4767,Positive
FMC,2020-05-22,0.4767,Positive
FMC,2020-05-27,0.20095,Positive
FMC,2020-06-01,0.0,Neutral
FMC,2020-06-02,0.0,Neutral
FMC,2020-06-03,0.0,Neutral
FMC,2020-06-05,0.0,Neutral
FMC,2020-06-09,0.0,Neutral
FMC,2020-06-16,0.0,Neutral
FMC,2020-06-25,0.3818,Positive
